mode,load,0_densenet121-16,1_densenet121-16
mig,0.1,16.187191009521484,16.18969440460205
mig,0.2,15.590667724609375,13.812541961669922
mig,0.3,15.557050704956055,13.782262802124023
mig,0.4,15.534639358520508,13.781547546386719
mig,0.5,15.521764755249023,13.762474060058594
mig,0.6,15.517711639404297,13.742446899414062
mig,0.7,15.533208847045898,13.749837875366211
mig,0.8,15.51675796508789,13.743162155151367
mig,0.9,15.52116870880127,13.74506950378418
mig,1.0,15.522241592407227,13.751745223999023
