mode,load,0_densenet121-16,1_densenet121-16
mig,0.1,18.869228363037116,18.876607418060303
mig,0.2,18.612108230590817,18.919038772583008
mig,0.3,16.715233325958252,18.30474853515625
mig,0.4,15.895853042602537,16.007905006408684
mig,0.5,15.854382514953612,14.11457061767578
mig,0.6,15.820744037628172,14.067745208740234
mig,0.7,15.781531333923338,14.027898311614992
mig,0.8,15.828990936279295,14.062778949737549
mig,0.9,15.794613361358643,14.054303169250488
mig,1.0,15.805416107177734,14.062080383300781
