mode,load,0_densenet201-16,1_mobilenet_v3_small-32,2_squeezenet1_1-4
mps-uncap,0.8,167.28480815887454,36.11415863037115,18.193864822387695
mps-uncap,0.9,302.6754164695739,40.45325517654402,21.616940498352054
mps-uncap,1.0,3546.6934084892273,114.3899583816528,83.05323123931885
mps-uncap,0.5,64.35163497924805,18.10069799423218,9.330105781555169
mps-uncap,0.6,87.26906299591067,19.217879772186276,10.160191059112545
mps-uncap,0.7,112.77558803558351,23.985881805419922,12.102923393249498
mps-uncap,0.1,42.127633094787555,12.253055572509775,4.638669490814204
mps-uncap,0.2,52.53137350082399,14.946346282958991,5.839824676513672
mps-uncap,0.3,50.141825675964355,18.230764865875248,7.2190284729003915
mps-uncap,0.4,57.500553131103516,19.61453914642329,8.280940055847166
