mode,load,0_densenet201-16,1_mobilenet_v3_small-32,2_squeezenet1_1-4
mps-uncap,0.8,26.349782943725586,7.010698318481445,5.077123641967773
mps-uncap,0.9,26.529550552368164,6.516695022583008,5.172491073608398
mps-uncap,1.0,27.141332626342773,6.802797317504883,5.49006462097168
mps-uncap,0.5,24.932861328125,7.694005966186523,5.029916763305664
mps-uncap,0.6,25.49457550048828,6.906986236572266,5.488395690917969
mps-uncap,0.7,24.851560592651367,6.936788558959961,5.479097366333008
mps-uncap,0.1,34.339189529418945,7.941722869873047,4.324197769165039
mps-uncap,0.2,32.70316123962402,7.593870162963867,4.375696182250977
mps-uncap,0.3,32.430171966552734,7.834434509277344,5.422353744506836
mps-uncap,0.4,26.068925857543945,7.668733596801758,5.344867706298828
