mode,load,0_densenet201-16,1_mobilenet_v3_small-32,2_squeezenet1_1-4
mps-uncap,0.8,532.9733412443809,5148.712071593013,1251.3635561035276
mps-uncap,0.9,586.3685434980711,5757.672034780597,1396.7356768534778
mps-uncap,1.0,643.00637673283,6392.9412043377015,1593.558237093575
mps-uncap,0.5,329.0684392811555,3147.685381710454,790.1838976602423
mps-uncap,0.6,405.96120313075704,3789.1055164940854,932.1617039171509
mps-uncap,0.7,439.436336124247,4468.430551340147,1080.3661287427265
mps-uncap,0.1,68.66479401665937,621.6657635340094,156.9237860161349
mps-uncap,0.2,118.36891857505566,1254.4616528730853,315.2739115959466
mps-uncap,0.3,206.69769194450325,1924.1317567193719,467.3410372726987
mps-uncap,0.4,267.66670032583613,2571.394062933214,621.0370665301049
