mode,load,0_densenet121-4,1_efficientnet_b5-2,2_resnet101-8
mps-uncap,0.8,12.18724250793457,15.732407569885254,10.408759117126465
mps-uncap,0.9,12.238502502441406,15.350580215454102,10.690450668334961
mps-uncap,1.0,12.26949691772461,15.445590019226074,10.700702667236328
mps-uncap,0.5,12.102603912353516,15.266180038452148,9.610176086425781
mps-uncap,0.6,12.346029281616211,15.566349029541016,9.551763534545898
mps-uncap,0.7,12.181997299194336,15.335798263549805,10.385751724243164
mps-uncap,0.1,18.643617630004883,17.89844036102295,15.91503620147705
mps-uncap,0.2,13.182878494262695,15.884637832641602,11.1541748046875
mps-uncap,0.3,12.620210647583008,15.542030334472656,10.021209716796875
mps-uncap,0.4,12.177109718322754,15.525102615356445,9.787321090698242
