mode,load,0_resnet101-32,1_squeezenet1_1-32,2_vgg16-32
mps-uncap,0.8,246.42751216888428,108.2333064079284,189.45885658264174
mps-uncap,0.9,625.4344701766969,237.04480171203627,243.49989414215082
mps-uncap,1.0,1664.3859624862669,1402.4451112747192,1003.2592058181762
mps-uncap,0.5,104.61967945098866,42.81719684600829,70.02854347229002
mps-uncap,0.6,159.2242002487183,50.76585769653322,92.742919921875
mps-uncap,0.7,204.90047454833984,75.32033920288082,125.6225109100343
mps-uncap,0.1,37.05281019210815,21.837816238403278,32.938194274902386
mps-uncap,0.2,66.59944057464602,21.360683441162124,40.327749252319336
mps-uncap,0.3,75.41257858276366,26.49981260299682,45.93077659606936
mps-uncap,0.4,94.64860916137694,35.81718444824215,65.70901870727545
