mode,load,0_efficientnet_b6-8,1_efficientnet_b6-8
mig,0.1,31.575989723205563,32.543866634368875
mig,0.2,30.853803157806396,26.770133972167983
mig,0.3,22.75131464004517,24.501800537109375
mig,0.4,21.295814514160156,24.7238349914551
mig,0.5,21.444358825683594,24.369394779205326
mig,0.6,21.10666036605835,24.89668369293213
mig,0.7,20.72420120239259,24.54543113708496
mig,0.8,20.55114507675171,24.790971279144287
mig,0.9,20.570001602172848,24.738907814025875
mig,1.0,20.668132305145264,24.958579540252686
