mode,load,0_inception_v3-16,1_inception_v3-8,2_vgg16-16
mps-uncap,0.8,6.502866744995117,4.9610137939453125,9.2315673828125
mps-uncap,0.9,6.545782089233398,4.913806915283203,9.279489517211914
mps-uncap,1.0,8.053779602050781,5.074501037597656,9.300470352172852
mps-uncap,0.5,6.494283676147461,4.898786544799805,9.210824966430664
mps-uncap,0.6,6.523847579956055,4.945993423461914,9.200572967529297
mps-uncap,0.7,6.503820419311523,4.961967468261719,9.254217147827148
mps-uncap,0.1,6.55674934387207,5.126237869262695,9.204387664794922
mps-uncap,0.2,6.5250396728515625,5.080461502075195,9.200811386108398
mps-uncap,0.3,6.513118743896484,4.882574081420898,9.211301803588867
mps-uncap,0.4,6.461620330810547,4.983663558959961,9.189605712890625
