mode,load,0_inception_v3-16,1_inception_v3-8,2_vgg16-16
mps-uncap,0.8,43.27130317687988,37.808895111083984,12.779474258422852
mps-uncap,0.9,42.08254814147949,40.28606414794922,14.687061309814453
mps-uncap,1.0,41.60284996032715,40.36116600036621,13.386011123657227
mps-uncap,0.5,41.83053970336914,38.06114196777344,11.946439743041992
mps-uncap,0.6,42.52505302429199,39.305686950683594,12.401103973388672
mps-uncap,0.7,41.1069393157959,38.649797439575195,13.278722763061523
mps-uncap,0.1,23.743629455566406,17.88163185119629,11.967897415161133
mps-uncap,0.2,29.623985290527344,30.496597290039062,12.173175811767578
mps-uncap,0.3,30.94768524169922,28.57685089111328,11.555910110473633
mps-uncap,0.4,37.46509552001953,30.4105281829834,11.945724487304688
