mode,load,0_inception_v3-16,1_inception_v3-8,2_vgg16-16
mps-uncap,0.8,76.80130004882812,60.55674552917481,52.78444290161133
mps-uncap,0.9,137.09282875061035,125.0600814819336,99.6889591217041
mps-uncap,1.0,526.0648727416993,1640.9880638122572,530.5476665496826
mps-uncap,0.5,31.463146209716804,29.02185916900636,20.975565910339363
mps-uncap,0.6,35.62922477722169,32.48252868652344,24.859428405761747
mps-uncap,0.7,47.30815887451171,47.29199409484864,37.16595172882081
mps-uncap,0.1,12.851905822753906,14.513587951660163,9.984302520751955
mps-uncap,0.2,17.306137084960938,17.798638343811035,13.644361495971683
mps-uncap,0.3,20.665931701660156,20.589828491210938,16.51539802551269
mps-uncap,0.4,25.874567031860348,23.358869552612312,18.00074577331543
