mode,load,0_inception_v3-16,1_inception_v3-8,2_vgg16-16
mps-uncap,0.8,0.011682510375976562,0.009775161743164062,0.01049041748046875
mps-uncap,0.9,0.012159347534179688,0.012159347534179688,0.010967254638671875
mps-uncap,1.0,0.014781951904296875,0.013828277587890625,0.012874603271484375
mps-uncap,0.5,0.012636184692382812,0.011682510375976562,0.010967254638671875
mps-uncap,0.6,0.012159347534179688,0.011920928955078125,0.0095367431640625
mps-uncap,0.7,0.012159347534179688,0.011920928955078125,0.009775161743164062
mps-uncap,0.1,0.02574920654296875,0.02002716064453125,0.012636184692382812
mps-uncap,0.2,0.022172927856445312,0.014066696166992188,0.012636184692382812
mps-uncap,0.3,0.020742416381835938,0.012159347534179688,0.010967254638671875
mps-uncap,0.4,0.012874603271484375,0.01239776611328125,0.01049041748046875
