mode,load,0_inception_v3-16,1_inception_v3-8,2_vgg16-16
mps-uncap,0.8,6.478071212768555,4.928827285766602,9.21773910522461
mps-uncap,0.9,6.525754928588867,4.767656326293945,9.22846794128418
mps-uncap,1.0,7.658243179321289,4.851341247558594,9.219169616699219
mps-uncap,0.5,6.433010101318359,4.828214645385742,9.197235107421875
mps-uncap,0.6,6.500959396362305,4.89497184753418,9.182453155517578
mps-uncap,0.7,6.428956985473633,4.89497184753418,9.229421615600586
mps-uncap,0.1,6.496191024780273,5.099296569824219,9.182214736938477
mps-uncap,0.2,6.481409072875977,5.066394805908203,9.163141250610352
mps-uncap,0.3,6.491422653198242,4.841327667236328,9.181976318359375
mps-uncap,0.4,6.443500518798828,4.929065704345703,9.175539016723633
