mode,load,0_inception_v3-16,1_inception_v3-8,2_vgg16-16
mps-uncap,0.8,32.208919525146484,25.83003044128418,18.445730209350586
mps-uncap,0.9,40.06481170654297,36.206960678100586,31.316757202148438
mps-uncap,1.0,160.21883487701416,855.8166027069092,324.359655380249
mps-uncap,0.5,14.515876770019531,13.124227523803711,10.144829750061035
mps-uncap,0.6,15.73789119720459,14.94598388671875,10.864496231079102
mps-uncap,0.7,21.96347713470459,18.741607666015625,15.435338020324707
mps-uncap,0.1,12.134552001953125,11.913776397705078,9.371280670166016
mps-uncap,0.2,12.028098106384277,12.278199195861816,9.352922439575195
mps-uncap,0.3,12.058615684509277,12.058854103088379,9.392380714416504
mps-uncap,0.4,12.717485427856445,12.488126754760742,9.682416915893555
