mode,load,0_inception_v3-16,1_inception_v3-8,2_vgg16-16
mps-uncap,0.8,314.6126072433842,193.9814394642853,1130.1537452294408
mps-uncap,0.9,375.3432658458267,202.08947293932468,1257.2243143499873
mps-uncap,1.0,404.3209395322893,231.6454012998361,1407.510251159115
mps-uncap,0.5,191.69840141418754,118.3864112938379,680.7050054543643
mps-uncap,0.6,227.7011942768251,145.01439079379082,818.489906670085
mps-uncap,0.7,277.81204711672467,167.2612525543933,975.4886417588974
mps-uncap,0.1,38.593827019806746,23.28731859523629,138.53514024542096
mps-uncap,0.2,75.97591130748104,50.484595333607956,266.38603148048963
mps-uncap,0.3,120.55446483600126,68.94078773791874,405.8637863258801
mps-uncap,0.4,161.8465807262689,93.69328351184836,541.673144288404
