mode,load,0_mobilenet_v2-8,1_resnet18-32,2_vgg11-8
mps-uncap,0.8,7.715940475463867,10.295867919921875,5.125761032104492
mps-uncap,0.9,10.116338729858398,11.542320251464844,5.711555480957031
mps-uncap,1.0,11.380553245544434,10.99705696105957,5.826830863952637
mps-uncap,0.5,6.786465644836426,7.257580757141113,4.201650619506836
mps-uncap,0.6,6.12187385559082,8.043408393859863,4.403114318847656
mps-uncap,0.7,6.192207336425781,9.326696395874023,4.753351211547852
mps-uncap,0.1,9.131669998168945,7.190346717834473,4.141569137573242
mps-uncap,0.2,9.199380874633789,6.931781768798828,4.132390022277832
mps-uncap,0.3,8.993864059448242,6.841421127319336,4.082441329956055
mps-uncap,0.4,8.1787109375,6.838560104370117,4.102587699890137
