mode,load,0_resnet18-32,1_resnet34-16,2_squeezenet1_0-2
mps-uncap,0.8,4130.241434601032,1533.451749392554,417.3759133896006
mps-uncap,0.9,4511.266735365734,1707.2552796792531,477.35948294294724
mps-uncap,1.0,5093.30862688129,1869.324300116386,527.9059876910184
mps-uncap,0.5,2579.153337884558,936.4712886388724,261.69410107104983
mps-uncap,0.6,3024.6375537701247,1114.2718823318646,324.89855587829095
mps-uncap,0.7,3619.9072290655804,1336.119636126652,363.4127864278986
mps-uncap,0.1,506.2571602388156,195.89040043712336,52.98153060397939
mps-uncap,0.2,1041.116537860424,380.8311671265568,106.63119063736708
mps-uncap,0.3,1488.5217427993466,576.0129189631784,160.41203671977235
mps-uncap,0.4,2011.2458985685294,737.0988764009898,215.1978584131226
