mode,load,0_resnet18-32,1_resnet34-16,2_squeezenet1_0-2
mps-uncap,0.8,72.98135757446289,83.4496021270752,18.226146697998047
mps-uncap,0.9,121.45376205444336,177.02078819274902,41.838645935058594
mps-uncap,1.0,235.70752143859863,822.6773738861084,180.35626411437988
mps-uncap,0.5,18.80168914794922,27.477741241455078,13.506650924682617
mps-uncap,0.6,26.953458786010742,26.067256927490234,17.93956756591797
mps-uncap,0.7,34.03019905090332,52.906036376953125,19.456148147583008
mps-uncap,0.1,5.197048187255859,7.9059600830078125,4.115104675292969
mps-uncap,0.2,8.897781372070312,11.410951614379883,5.361318588256836
mps-uncap,0.3,15.040159225463867,12.180089950561523,7.310152053833008
mps-uncap,0.4,15.094757080078125,19.084453582763672,11.451959609985352
