mode,load,0_mobilenet_v2-16,1_mobilenet_v2-16,2_mobilenet_v2-16,3_mobilenet_v2-16
mig,0.1,178.8619555431294,171.28937519033036,168.66137107816374,91.18765221993064
mig,0.2,364.9978033057838,349.0835872541348,356.68604407116976,191.7990935113299
mig,0.3,536.8741569189611,532.2296589029245,548.1183962204595,268.9309690629818
mig,0.4,711.3405276909426,727.2292287240687,717.7935219009605,376.1600616626817
mig,0.5,878.5382403097632,864.5340860811618,881.0265861462043,452.53687239810637
mig,0.6,1088.9727395101795,1065.918845667123,1071.2436713262389,539.9357887812009
mig,0.7,1259.3478316780636,1216.7617732324554,1247.2215610535388,632.6593901562501
mig,0.8,1420.3986765114391,1412.4470623090776,1435.6288102530934,747.8604958680484
mig,0.9,1666.8089882030085,1647.5405657001252,1624.0349843073898,800.701711763368
mig,1.0,1809.445299394582,1774.676368990186,1789.4553093764632,922.6582909839342
