mode,load,0_efficientnet_b5-16,1_resnet34-32,2_vgg19-16
mps-uncap,0.8,404.9379730224609,163.5875082015991,87.30524778366089
mps-uncap,0.9,395.88286399841314,241.43125534057597,175.64214706420876
mps-uncap,1.0,1071.3765835762024,1463.8008308410651,1500.2256822586055
mps-uncap,0.5,67.32425689697266,45.97953796386719,43.63498210906984
mps-uncap,0.6,95.12236833572388,55.94659805297862,50.32619476318359
mps-uncap,0.7,162.83068656921387,95.78068733215333,86.76419496536253
mps-uncap,0.1,29.332277774810795,19.61749076843261,19.9084186553955
mps-uncap,0.2,64.86515998840329,21.30645513534545,24.06462907791139
mps-uncap,0.3,61.68348789215079,29.409189224243168,33.5384464263916
mps-uncap,0.4,63.4099912643433,29.566431045532223,33.639097213745174
