mode,load,0_efficientnet_b6-32,1_resnet18-4,2_vgg13-16
mps-uncap,0.8,224.68275071179798,215.11804718290452,1047.9114508245495
mps-uncap,0.9,236.67789923605164,254.73192733855055,1205.1828108039078
mps-uncap,1.0,293.11311726747266,283.8954690547607,1350.0609269508539
mps-uncap,0.5,128.65790030826028,136.11252400758625,656.3772639575087
mps-uncap,0.6,166.5389953304984,165.0420604544567,798.6903099580221
mps-uncap,0.7,201.10054120656608,190.71583446321353,928.1613592243325
mps-uncap,0.1,20.8460289305789,27.16533708230864,125.53640133209004
mps-uncap,0.2,62.007465708301076,53.26520622390098,273.9327014533974
mps-uncap,0.3,90.82537957896322,81.21403855489646,387.23506661259154
mps-uncap,0.4,118.31283630914338,110.26411269665418,520.8845012333304
