mode,load,0_resnet34-16,1_resnet34-16
mig,0.1,0.05340576171875,0.056862831115722656
mig,0.2,0.04863739013671875,0.05245208740234375
mig,0.3,0.04744529724121094,0.04839897155761719
mig,0.4,0.047206878662109375,0.04887580871582031
mig,0.5,0.04601478576660156,0.05316734313964844
mig,0.6,2.0279884338378906,2.563953399658203
mig,0.7,4.0569305419921875,4.561901092529297
mig,0.8,6.238698959350586,8.639812469482422
mig,0.9,14.127969741821289,20.355582237243652
mig,1.0,194.45383548736572,179.69834804534912
