mode,load,0_resnet34-16,1_resnet34-16
mig,0.1,266.78402146989,222.56073223778012
mig,0.2,566.2306126516073,423.4205055044686
mig,0.3,808.701569577627,630.2407057501204
mig,0.4,1114.031342450584,843.2613023161158
mig,0.5,1354.5718065404433,1074.1907944075842
mig,0.6,1645.4708625648555,1297.9029579356168
mig,0.7,1934.4284554761991,1479.9299284579527
mig,0.8,2153.010146662014,1718.952482360564
mig,0.9,2460.4431483517847,1927.3305455683449
mig,1.0,2762.5654075703974,2169.149061068491
