mode,load,0_alexnet-2,1_alexnet-2,2_alexnet-2,3_alexnet-2
mig,0.1,1.9783973693847656,1.983642578125,1.9786357879638672,2.8055429458618164
mig,0.2,1.973867416381836,1.9901752471923828,1.9905567169189453,2.8264522552490234
mig,0.3,1.96075439453125,1.979827880859375,1.9865036010742188,2.8917789459228516
mig,0.4,1.8212556838989262,1.8331289291381838,1.8291473388671875,2.8630018234252934
mig,0.5,1.88446044921875,1.8875598907470703,1.9063472747802732,2.911210060119629
mig,0.6,1.9352436065673828,1.9483566284179688,1.9548416137695315,2.933502197265625
mig,0.7,2.002716064453125,2.017974853515625,2.015352249145508,2.9687643051147465
mig,0.8,2.002716064453125,2.034997940063477,2.0296573638916016,2.9451847076416016
mig,0.9,1.9145011901855469,1.9466876983642578,1.9495487213134766,2.907276153564453
mig,1.0,1.9459724426269531,1.9772052764892578,1.9669532775878906,2.9273033142089844
