mode,load,0_alexnet-2,1_alexnet-2,2_alexnet-2,3_alexnet-2
mig,0.1,2.010154724121086,2.0355105400085516,1.9026947021484375,2.6653170585632333
mig,0.2,3.352084159851079,3.374819755554203,3.497762680053709,4.406452178955078
mig,0.3,4.553556442260745,4.948229789733886,4.971327781677268,6.147651672363267
mig,0.4,4.815428256988521,5.639555454254108,6.403677463531484,7.265343666076658
mig,0.5,8.95252227783204,9.351491928100586,9.081239700317376,12.396693229675293
mig,0.6,14.820995330810545,14.43394899368287,16.39657020568848,19.300477504730207
mig,0.7,59.103202819824226,55.65598487854011,79.07163619995119,39.695141315460184
mig,0.8,2079.9582624435425,2315.0311946868896,2452.6764488220215,237.2004318237307
mig,0.9,5578.258676528931,5884.865047931671,5301.438264846802,3348.6593198776245
mig,1.0,13046.601829528809,12418.392810821531,13460.167276859283,10391.874277591705
