mode,load,0_alexnet-2,1_alexnet-2,2_alexnet-2,3_alexnet-2
mig,0.1,2.6129245758056654,2.5039911270141606,2.483105659484863,3.283977508544923
mig,0.2,3.421783447265624,3.490304946899414,3.5126209259033203,4.656076431274414
mig,0.3,3.787994384765625,3.9841175079345708,4.092836380004888,5.328178405761719
mig,0.4,4.012036323547364,4.190230369567872,4.405903816223145,6.313633918762208
mig,0.5,5.78153133392334,5.644798278808594,6.021547317504881,8.588194847106934
mig,0.6,8.838319778442383,8.986091613769533,9.85994338989258,12.002611160278322
mig,0.7,29.021358489990234,27.605247497558597,39.437723159790046,21.555233001708988
mig,0.8,1926.4240741729736,2177.2720336914062,2327.9033184051514,147.10998535156256
mig,0.9,5533.971881866456,5839.6812200546265,5237.140965461731,3293.0681705474854
mig,1.0,11861.263036727905,11356.711673736572,12245.185852050781,9473.556160926819
