mode,load,0_alexnet-2,1_alexnet-2,2_alexnet-2,3_alexnet-2
mig,0.1,150.97733084258675,146.0226921121252,151.2260602198443,85.19692744688776
mig,0.2,296.86410297343707,296.8654505678345,299.97863043741444,175.75399664353057
mig,0.3,440.6864239376145,447.21386590467705,452.1918566918883,260.27089630727636
mig,0.4,594.2006215355892,594.801886971646,590.9272061080792,347.78603136755027
mig,0.5,739.9438985083117,725.8899312239088,736.6576172149571,429.1255585350728
mig,0.6,882.6936828791478,898.5562340315286,884.0711285804039,539.0582683675186
mig,0.7,1028.2122139082799,1023.1671270988724,1029.2038996868666,609.3228517984323
mig,0.8,1153.506896335343,1150.7988382682788,1156.3117486672816,700.6351678562856
mig,0.9,1219.3392784218536,1208.3828817525246,1208.5367153964075,748.8718738708006
mig,1.0,1153.9814676465667,1136.9230707837264,1139.0296747083091,722.0366488933313
