mode,load,0_vgg16-32,1_vgg16-32
mig,0.1,0.0152587890625,0.023603439331054688
mig,0.2,0.01430511474609375,0.015020370483398438
mig,0.3,0.01430511474609375,0.013828277587890625
mig,0.4,0.011682510375976562,0.014781951904296875
mig,0.5,0.014781951904296875,0.0152587890625
mig,0.6,0.014066696166992188,0.012874603271484375
mig,0.7,0.013828277587890625,0.013828277587890625
mig,0.8,0.014066696166992188,0.015020370483398438
mig,0.9,0.014066696166992188,0.01430511474609375
mig,1.0,0.016689300537109375,0.022411346435546875
