mode,load,0_densenet169-32,1_efficientnet_b7-16,2_resnet34-8
mps-uncap,0.8,555.5910694247965,259.98768564217346,542.1304211330358
mps-uncap,0.9,617.120885299011,284.88420031470463,627.862364958244
mps-uncap,1.0,694.0710148867388,309.476181014314,679.3061561680113
mps-uncap,0.5,362.23058707978214,147.04860358497604,339.6752215790804
mps-uncap,0.6,432.87415542855905,174.8192082275467,409.85830217211384
mps-uncap,0.7,515.0046587746333,211.45496749278882,467.73775772199735
mps-uncap,0.1,79.52344305835143,33.11880746233959,66.75378737314249
mps-uncap,0.2,133.43020435500753,64.5048849710696,138.1103316630445
mps-uncap,0.3,232.32109825399144,98.77431871021939,206.98240585733978
mps-uncap,0.4,276.1043389278206,129.16624280320613,286.215717584235
