mode,load,0_resnet50-32,1_mobilenet_v2-8,2_squeezenet1_0-8
mps-uncap,0.6,59.23069000244142,45.63393592834471,24.46801185607911
mig,0.6,180.37135362625125,27.34002590179444,28.697862625122035
mps-uncap,0.7,69.35054302215578,63.108808994293206,36.740014553069926
mig,0.7,218.09349775314337,35.84086656570428,37.82721519470215
mps-uncap,0.8,86.05163097381609,218.2928085327149,41.37187004089353
mig,0.8,214.02466773986816,50.18251419067383,54.32103395462035
mps-uncap,0.9,110.96879243850735,2658.519902229309,90.92948913574217
mig,0.9,312.70905017852806,102.80642509460436,80.64413309097286
mps-uncap,1.0,146.94959640502918,21897.174503803253,272.08210468292293
mig,1.0,852.984504699707,251.4171886444091,244.84210968017558
mps-uncap,1.1,139.88471031188948,29086.86537742615,3247.835223674772
mig,1.1,6136.99122428894,5220.128648281097,6433.499519824982
mps-uncap,1.2,270.8235049247741,35296.47826194763,13833.495473861696
mig,1.2,14023.967921733856,14023.521437644957,13847.63526201249
mps-uncap,1.3,943.5239315032974,49253.46550941467,24548.395791053772
mig,1.3,22234.698314666748,21446.89967870712,20878.872761726372
