mode,load,0_resnet50-32,1_mobilenet_v2-8,2_squeezenet1_0-8
mps-uncap,0.6,12.902975082397461,3.938913345336914,1.8167495727539062
mig,0.6,25.507450103759766,4.854917526245117,5.012750625610352
mps-uncap,0.7,12.95614242553711,3.939390182495117,1.8236637115478516
mig,0.7,25.511503219604492,4.853963851928711,5.008935928344727
mps-uncap,0.8,12.820243835449219,3.9365291595458984,1.8854141235351562
mig,0.8,25.493621826171875,4.853010177612305,5.014181137084961
mps-uncap,0.9,13.009786605834961,3.9741992950439453,1.9359588623046875
mig,0.9,25.517940521240234,4.848718643188477,5.007266998291016
mps-uncap,1.0,13.878583908081055,3.991842269897461,1.9822120666503906
mig,1.0,25.56896209716797,4.880666732788086,5.021810531616211
mps-uncap,1.1,16.190767288208008,3.9844512939453125,1.9941329956054688
mig,1.1,25.852441787719727,4.940032958984375,5.095958709716797
mps-uncap,1.2,14.774322509765625,4.017114639282227,2.1047592163085938
mig,1.2,25.84218978881836,4.945516586303711,5.100250244140625
mps-uncap,1.3,14.65296745300293,4.0302276611328125,1.9195079803466797
mig,1.3,25.81048011779785,4.914283752441406,5.0830841064453125
