mode,load,0_resnet50-32,1_mobilenet_v2-8,2_squeezenet1_0-8
mps-uncap,0.6,35.38336753845215,21.93164825439453,12.111735343933105
mig,0.6,87.45269775390626,15.666627883911135,16.261005401611328
mps-uncap,0.7,40.92535972595214,30.902290344238278,16.716861724853516
mig,0.7,104.96153831481936,19.549679756164547,20.612144470214847
mps-uncap,0.8,49.14712905883789,118.93653869628905,21.19617462158203
mig,0.8,134.2857360839844,29.342508316040046,30.895876884460456
mps-uncap,0.9,65.75024127960205,2409.443235397339,43.36743354797363
mig,0.9,220.54510116577148,58.06684494018555,48.496246337890625
mps-uncap,1.0,84.68527793884277,19939.060974121094,90.82324504852295
mig,1.0,642.9684162139891,173.4885215759277,103.73110771179198
mps-uncap,1.1,78.39632034301758,26301.36799812317,2448.4779834747314
mig,1.1,5678.876876831055,4775.794982910157,5584.797286987305
mps-uncap,1.2,157.34651088714605,32894.92473602295,13487.551927566528
mig,1.2,12089.699387550354,12772.938251495361,12437.973093986511
mps-uncap,1.3,457.5592994689941,44398.58412742615,21920.221614837646
mig,1.3,19776.579904556278,19664.425683021545,18802.020120620728
