mode,load,0_resnet50-32,1_mobilenet_v2-8,2_squeezenet1_0-8
mps-uncap,0.6,68.99881362915039,83.0690860748291,68.59731674194336
mig,0.6,211.7745876312256,42.730093002319336,40.132999420166016
mps-uncap,0.7,73.88138771057129,100.88920593261719,105.67831993103027
mig,0.7,250.91242790222168,53.27320098876953,56.606292724609375
mps-uncap,0.8,128.91054153442383,275.2490043640137,66.07484817504883
mig,0.8,258.73613357543945,72.11923599243164,69.43678855895996
mps-uncap,0.9,155.3516387939453,2732.829809188843,132.1125030517578
mig,0.9,338.4866714477539,137.84384727478027,112.67805099487305
mps-uncap,1.0,233.0338954925537,22138.840913772583,331.16602897644043
mig,1.0,885.357141494751,272.48144149780273,341.153621673584
mps-uncap,1.1,157.13024139404297,29366.900205612183,3360.6059551239014
mig,1.1,6333.118677139282,5264.978408813477,6520.738363265991
mps-uncap,1.2,327.8071880340576,35685.306549072266,14045.841455459595
mig,1.2,14283.06794166565,14223.876953125,13996.936798095703
mps-uncap,1.3,1053.3638000488281,49735.66484451294,24839.67661857605
mig,1.3,22346.415996551514,21627.872705459595,21067.72208213806
