mode,load,0_resnet50-32,1_mobilenet_v2-8,2_squeezenet1_0-8
mps-uncap,0.6,42.36093521118165,38.93532752990723,19.1050148010254
mig,0.6,152.49918937683142,22.11428165435792,23.458986282348594
mps-uncap,0.7,51.7203998565674,56.743354797363274,31.304049491882278
mig,0.7,191.61432266235366,30.77632427215572,32.532401084899895
mps-uncap,0.8,67.46006011962893,211.8920326232911,36.425905227661104
mig,0.8,187.96904563903811,45.03997802734374,48.980257511138916
mps-uncap,0.9,91.95021390914947,2651.02710723877,84.97179031372032
mig,0.9,284.604082107544,97.73313999176017,75.25742053985594
mps-uncap,1.0,127.97464370727538,21890.185968875885,266.31243705749523
mig,1.0,826.2261390686035,246.32835388183585,239.6475410461424
mps-uncap,1.1,121.52304649353015,29077.95877456665,3242.4779915809604
mig,1.1,6110.252695083618,5215.025863647461,6427.8203773498535
mps-uncap,1.2,252.2789740562439,35287.747106552124,13830.62459230423
mig,1.2,13997.470915317535,14018.231983184814,13842.356276512153
mps-uncap,1.3,924.0725421905531,49240.70568084717,24540.701115131378
mig,1.3,22207.259805202484,21440.31870365143,20873.650219440453
