mode,load,0_resnet50-32,1_mobilenet_v2-8,2_squeezenet1_0-8
mps-uncap,0.6,699.4056477798526,905.0070841381126,881.7303985105315
mig,0.6,734.3134779933145,908.6235639726849,889.8933842986919
mps-uncap,0.7,845.0663949038831,1074.3731156226797,1050.2247615489334
mig,0.7,814.1497389430253,1066.6265488115705,1023.9348670347244
mps-uncap,0.8,964.7148123881676,1237.4224259030968,1182.936719770897
mig,0.8,948.7845940287681,1212.528071917881,1194.931026691986
mps-uncap,0.9,1063.0875509190473,1347.4858045995463,1337.7212734971758
mig,0.9,1056.1131097119976,1381.4226540859918,1340.3249127806494
mps-uncap,1.0,1198.2474720897717,1165.2037491500207,1464.4902104342796
mig,1.0,1157.8040840785213,1485.9790475570364,1454.030249213114
mps-uncap,1.1,1302.0536279274058,1134.9735349866921,1578.093282101115
mig,1.1,1199.0315324024975,1548.2043041671984,1503.2191000115351
mps-uncap,1.2,1429.5701241372308,1112.31273790116,1486.627764647261
mig,1.2,1199.5567880000583,1548.6476659524617,1501.8096069759147
mps-uncap,1.3,1530.143239042179,903.0975497612167,1390.0781984864443
mig,1.3,1195.1899337471452,1544.668908387689,1499.6931669538035
