mode,load,0_resnet50-32,1_mobilenet_v2-8,2_squeezenet1_0-8
mps-uncap,0.6,18.0840015411377,15.930414199829102,7.025957107543945
mig,0.6,60.34610271453858,10.380554199218754,10.918712615966792
mps-uncap,0.7,22.966337203979485,25.023746490478512,11.640834808349613
mig,0.7,78.67598533630373,14.318108558654785,15.281391143798828
mps-uncap,0.8,30.722618103027344,112.89968490600583,16.02535247802734
mig,0.8,107.82227516174318,24.161577224731452,25.553083419799815
mps-uncap,0.9,46.7987060546875,2403.346300125122,38.26646804809574
mig,0.9,194.18816566467285,52.9325008392334,43.222665786743164
mps-uncap,1.0,65.32578468322754,19934.29856300354,85.59520244598389
mig,1.0,616.0501003265381,168.40786933898923,98.34952354431151
mps-uncap,1.1,59.92579460144043,26290.19546508789,2443.284773826599
mig,1.1,5652.254676818848,4770.733380317688,5579.372596740723
mps-uncap,1.2,137.91122436523438,32885.95495223999,13482.692837715149
mig,1.2,12063.07053565979,12767.695951461792,12432.623434066772
mps-uncap,1.3,438.2185459136962,44387.662410736084,21914.879083633423
mig,1.3,19750.327086448673,19659.350371360775,18796.78614139557
