mode,load,0_resnet50-32,1_mobilenet_v2-8,2_squeezenet1_0-8
mps-uncap,0.6,17.778635025024414,7.885217666625977,4.1893720626831055
mig,0.6,36.98015213012695,7.098913192749023,7.228851318359375
mps-uncap,0.7,20.037412643432617,10.880708694458008,5.3768157958984375
mig,0.7,45.27902603149414,8.614182472229004,8.916378021240234
mps-uncap,0.8,22.431373596191406,35.66431999206543,6.6013336181640625
mig,0.8,56.54597282409668,10.761499404907227,11.967301368713379
mps-uncap,0.9,28.161287307739258,1597.2394943237305,12.570381164550781
mig,0.9,102.35190391540527,18.71657371520996,19.05667781829834
mps-uncap,1.0,35.37178039550781,10869.676351547241,20.31266689300537
mig,1.0,279.89912033081055,56.28252029418945,50.171852111816406
mps-uncap,1.1,33.94508361816406,14770.314931869507,1559.1814517974854
mig,1.1,2224.012613296509,2421.7236042022705,3129.7876834869385
mps-uncap,1.2,58.8911771774292,18517.528533935547,7891.088128089905
mig,1.2,6253.535270690918,6997.981548309326,6926.504969596863
mps-uncap,1.3,124.95279312133789,23267.77482032776,11171.342611312866
mig,1.3,10413.79427909851,10754.965424537659,10246.651887893677
