mode,load,0_resnet50-32,1_mobilenet_v2-8,2_squeezenet1_0-8
mps-uncap,0.6,0.0286102294921875,2.310037612915039,0.02956390380859375
mig,0.6,10.528206825256348,1.8367767333984375,1.8486976623535156
mps-uncap,0.7,0.03361701965332031,5.26583194732666,0.6924867630004883
mig,0.7,18.439054489135742,3.4934282302856445,3.591299057006836
mps-uncap,0.8,3.7109851837158203,29.48927879333496,1.837015151977539
mig,0.8,30.018091201782227,5.495786666870117,6.61313533782959
mps-uncap,0.9,9.603142738342285,1590.5687808990479,7.523298263549805
mig,0.9,75.49190521240234,13.556480407714844,13.733267784118652
mps-uncap,1.0,16.355276107788086,10864.210963249207,15.448570251464844
mig,1.0,252.36010551452637,51.1016845703125,44.81649398803711
mps-uncap,1.1,15.69676399230957,14764.756202697754,1554.1236400604248
mig,1.1,2197.6983547210693,2416.5165424346924,3124.42684173584
mps-uncap,1.2,39.68369960784912,18509.790897369385,7886.632442474365
mig,1.2,6227.06413269043,6992.891073226929,6921.176075935364
mps-uncap,1.3,105.67831993103027,23263.585329055786,11165.732622146606
mig,1.3,10387.231707572937,10749.905943870544,10241.421818733215
