mode,load,0_resnet50-32,1_mobilenet_v2-8,2_squeezenet1_0-8
mps-uncap,0.6,23.527145385742188,23.452281951904297,13.736963272094727
mig,0.6,32.04035758972168,12.456417083740234,12.567281723022461
mps-uncap,0.7,32.83953666687012,14.881610870361328,15.70272445678711
mig,0.7,41.69821739196777,19.078969955444336,20.172119140625
mps-uncap,0.8,26.20077133178711,16.373157501220703,13.11635971069336
mig,0.8,36.41700744628906,17.175674438476562,17.827749252319336
mps-uncap,0.9,37.153005599975586,19.433975219726562,20.752429962158203
mig,0.9,31.208038330078125,13.404607772827148,12.610197067260742
mps-uncap,1.0,28.96881103515625,19.810199737548828,16.520261764526367
mig,1.0,31.77952766418457,14.105796813964844,14.364957809448242
mps-uncap,1.1,29.14142608642578,18.05567741394043,17.505407333374023
mig,1.1,33.61964225769043,12.763261795043945,10.62321662902832
mps-uncap,1.2,29.083251953125,18.646240234375,19.91748809814453
mig,1.2,34.14297103881836,13.179540634155273,12.763738632202148
mps-uncap,1.3,27.95577049255371,21.119117736816406,18.965482711791992
mig,1.3,35.14695167541504,12.656927108764648,13.239145278930664
