mode,load,0_resnet50-32,1_mobilenet_v2-8,2_squeezenet1_0-8
mps-uncap,0.6,19.098520278930664,9.433507919311523,7.407808303833011
mig,0.6,28.853178024291992,5.817437171936035,5.867195129394531
mps-uncap,0.7,19.83709335327148,9.198164939880371,8.133196830749513
mig,0.7,28.838133811950684,5.622363090515137,5.762338638305664
mps-uncap,0.8,19.705533981323242,11.142873764038086,8.353805541992188
mig,0.8,28.685617446899418,5.49764633178711,5.663013458251953
mps-uncap,0.9,19.71435546875,10.291910171508789,8.974504470825195
mig,0.9,28.022432327270504,5.370140075683594,5.540609359741211
mps-uncap,1.0,19.625568389892578,12.55776882171631,9.037566184997557
mig,1.0,27.303647994995117,5.342245101928711,5.518913269042969
mps-uncap,1.1,18.64480972290039,12.282609939575195,9.380054473876953
mig,1.1,26.98822021484375,5.31315803527832,5.451440811157227
mps-uncap,1.2,19.550538063049316,11.406326293945312,9.636402130126953
mig,1.2,27.030229568481445,5.313873291015625,5.456686019897461
mps-uncap,1.3,19.67930793762207,12.903690338134766,9.38868522644043
mig,1.3,27.370476722717285,5.330777168273926,5.456280708312989
