mode,load,0_resnet50-32,1_mobilenet_v2-8,2_squeezenet1_0-8
mps-uncap,0.6,16.701221466064453,4.410982131958008,3.0298233032226562
mig,0.6,26.171565055847168,5.004405975341797,5.152702331542969
mps-uncap,0.7,17.824411392211914,4.330158233642578,2.8666257858276367
mig,0.7,26.273012161254883,5.0133466720581055,5.173206329345703
mps-uncap,0.8,18.50581169128418,4.300832748413086,3.141164779663086
mig,0.8,26.319026947021484,5.025386810302734,5.182981491088867
mps-uncap,0.9,18.717646598815918,4.410982131958008,3.3969879150390625
mig,0.9,26.40700340270996,5.045413970947266,5.202293395996094
mps-uncap,1.0,19.101381301879883,5.9784650802612305,4.183292388916016
mig,1.0,26.625394821166992,5.084037780761719,5.246162414550781
mps-uncap,1.1,18.15176010131836,5.967378616333008,4.466891288757324
mig,1.1,26.489973068237305,5.103826522827148,5.2623748779296875
mps-uncap,1.2,19.0732479095459,6.6986083984375,5.373358726501465
mig,1.2,26.5200138092041,5.102872848510742,5.274295806884766
mps-uncap,1.3,19.31166648864746,6.84356689453125,5.406975746154785
mig,1.3,26.511311531066895,5.097866058349609,5.256891250610352
