mode,load,0_resnet50-32,1_mobilenet_v2-8,2_squeezenet1_0-8
mps-uncap,0.6,12.938499450683594,3.9772987365722656,1.9161701202392578
mig,0.6,25.628089904785156,4.87828254699707,5.039453506469727
mps-uncap,0.7,13.002395629882812,3.965139389038086,1.8494129180908203
mig,0.7,25.589704513549805,4.874229431152344,5.033731460571289
mps-uncap,0.8,12.853860855102539,3.9718151092529297,1.9032955169677734
mig,0.8,25.757551193237305,4.8732757568359375,5.04755973815918
mps-uncap,0.9,14.781951904296875,4.091739654541016,1.9748210906982422
mig,0.9,25.53701400756836,4.874706268310547,5.022525787353516
mps-uncap,1.0,15.387296676635742,4.460334777832031,1.9996166229248047
mig,1.0,25.937318801879883,4.915475845336914,5.10096549987793
mps-uncap,1.1,16.85500144958496,9.057044982910156,2.3429393768310547
mig,1.1,26.154041290283203,5.001544952392578,5.172491073608398
mps-uncap,1.2,16.81995391845703,7.236480712890625,2.640962600708008
mig,1.2,25.899648666381836,4.967212677001953,5.141973495483398
mps-uncap,1.3,16.00050926208496,4.440069198608398,2.181529998779297
mig,1.3,26.751041412353516,5.098819732666016,5.179643630981445
