mode,load,0_resnet50-32,1_mobilenet_v2-8,2_squeezenet1_0-8
mps-uncap,0.6,86.69424057006836,87.35370635986328,78.21178436279297
mig,0.6,238.02661895751953,47.7142333984375,45.78065872192383
mps-uncap,0.7,92.0858383178711,106.15825653076172,108.2918643951416
mig,0.7,279.09040451049805,58.23206901550293,62.180280685424805
mps-uncap,0.8,148.1306552886963,282.70959854125977,71.74062728881836
mig,0.8,284.87348556518555,78.5973072052002,74.60474967956543
mps-uncap,0.9,174.34453964233398,2737.098217010498,137.87341117858887
mig,0.9,364.8984432220459,143.31388473510742,117.84648895263672
mps-uncap,1.0,252.78306007385254,22151.647329330444,337.57519721984863
mig,1.0,912.2686386108398,278.0294418334961,346.5847969055176
mps-uncap,1.1,174.9882698059082,29379.552364349365,3363.6434078216553
mig,1.1,6359.331130981445,5270.197868347168,6526.020765304565
mps-uncap,1.2,346.616268157959,35695.25051116943,14051.402807235718
mig,1.2,14309.42964553833,14228.980302810669,14002.244710922241
mps-uncap,1.3,1072.9234218597412,49752.35342979431,24851.81212425232
mig,1.3,22372.840881347656,21638.041019439697,21074.159860610962
