mode,load,0_resnet50-32,1_mobilenet_v2-8,2_squeezenet1_0-8
mps-uncap,0.6,0.013113021850585938,0.011205673217773438,0.012636184692382812
mig,0.6,0.013589859008789062,0.011920928955078125,0.011205673217773438
mps-uncap,0.7,0.013828277587890625,0.011205673217773438,0.011205673217773438
mig,0.7,0.01430511474609375,0.011444091796875,0.011682510375976562
mps-uncap,0.8,0.012874603271484375,0.011205673217773438,0.011444091796875
mig,0.8,0.013828277587890625,0.011444091796875,0.012159347534179688
mps-uncap,0.9,0.013828277587890625,0.013828277587890625,0.012874603271484375
mig,0.9,0.014066696166992188,0.011444091796875,0.011682510375976562
mps-uncap,1.0,0.011444091796875,0.014781951904296875,0.010967254638671875
mig,1.0,0.013828277587890625,0.011682510375976562,0.0133514404296875
mps-uncap,1.1,0.0133514404296875,0.021457672119140625,0.0133514404296875
mig,1.1,0.0133514404296875,0.015020370483398438,0.013589859008789062
mps-uncap,1.2,0.012636184692382812,0.015974044799804688,0.01430511474609375
mig,1.2,0.017642974853515625,0.01430511474609375,0.013113021850585938
mps-uncap,1.3,0.013828277587890625,0.01430511474609375,0.013828277587890625
mig,1.3,0.023126602172851562,0.014781951904296875,0.013828277587890625
