mode,load,0_squeezenet1_0-16,1_efficientnet_b6-2,2_vgg13-16
mps-uncap,0.6,1458.4337737601616,67.0845130011729,323.30839349170805
mig,0.6,1457.9936659057842,67.66798150741725,327.38008835262707
mps-uncap,0.7,1707.5185308844711,81.2257419989809,379.9367710541917
mig,0.7,1683.871943149553,80.75219759982603,389.32207129792886
mps-uncap,0.8,1858.8513687437783,92.79266645944395,417.3321791328489
mig,0.8,1943.406251016285,94.81693232477235,425.39397479980585
mps-uncap,0.9,2141.5768546902236,89.21860914048202,483.5283080420561
mig,0.9,2207.0675382776303,103.86469521088932,477.0244706011276
mps-uncap,1.0,2427.184019900137,84.61684028838278,529.1339688111918
mig,1.0,2397.0699367327597,113.31687514310894,528.4319305709911
mps-uncap,1.1,2708.5569997071593,79.34377791922577,581.3623281451844
mig,1.1,2393.549500851951,116.67216398824333,528.2627836962978
mps-uncap,1.2,2746.407075037374,74.99473681846895,630.1697557314138
mig,1.2,2397.005850402934,116.36645379532399,529.8805171160736
mps-uncap,1.3,2638.5623755986585,72.2554162811929,693.5515008127087
mig,1.3,2396.155989805769,114.41992547085472,530.316238668064
