mode,load,0_squeezenet1_0-16,1_efficientnet_b6-2,2_vgg13-16
mps-uncap,0.6,14.00647163391113,37.98069953918458,15.000910758972143
mig,0.6,9.123954772949219,19.87228393554689,33.2361888885498
mps-uncap,0.7,14.05890226364137,41.98145151138305,14.98048782348632
mig,0.7,9.239788055419924,18.916592597961422,33.23746919631958
mps-uncap,0.8,14.212560653686541,44.38004255294794,14.88276958465576
mig,0.8,9.08268451690674,18.638944625854492,33.09162855148315
mps-uncap,0.9,14.051878452301027,50.108957290649414,15.189058780670166
mig,0.9,9.199917316436771,18.219733238220215,33.01118612289428
mps-uncap,1.0,14.027774333953852,52.02493429183958,15.039043426513674
mig,1.0,9.139299392700195,18.15788269042969,33.22857379913331
mps-uncap,1.1,14.101316928863527,55.735254287719805,14.954438209533691
mig,1.1,9.158134460449213,18.01968097686768,33.37787151336669
mps-uncap,1.2,14.182043075561527,58.52290630340577,14.956107139587402
mig,1.2,9.110124111175535,17.971084117889408,33.23017358779907
mps-uncap,1.3,14.280481338500975,59.886429309844935,15.117096900939943
mig,1.3,9.100339412689204,18.35972547531128,32.907166481018066
