mode,load,0_squeezenet1_0-16,1_efficientnet_b6-2,2_vgg13-16
mps-uncap,0.6,3.1723976135253906,17.14491844177246,8.643627166748047
mig,0.6,6.058931350708008,17.323017120361328,29.24966812133789
mps-uncap,0.7,3.1585693359375,17.385005950927734,8.57234001159668
mig,0.7,6.061077117919922,17.186641693115234,29.316425323486328
mps-uncap,0.8,3.2622814178466797,17.46964454650879,8.776187896728516
mig,0.8,6.0634613037109375,17.025232315063477,29.291629791259766
mps-uncap,0.9,3.3419132232666016,20.15209197998047,8.780241012573242
mig,0.9,6.067037582397461,16.994714736938477,29.38246726989746
mps-uncap,1.0,3.4139156341552734,36.89002990722656,8.808612823486328
mig,1.0,6.244897842407227,17.068862915039062,29.483318328857422
mps-uncap,1.1,3.4265518188476562,21.596908569335938,8.894681930541992
mig,1.1,6.220340728759766,16.922712326049805,29.43277359008789
mps-uncap,1.2,3.3621788024902344,21.568775177001953,9.700775146484375
mig,1.2,6.23011589050293,17.802000045776367,29.559850692749023
mps-uncap,1.3,7.683038711547852,22.3238468170166,9.690523147583008
mig,1.3,6.230831146240234,17.479896545410156,29.93917465209961
