mode,load,0_squeezenet1_0-16,1_efficientnet_b6-2,2_vgg13-16
mps-uncap,0.6,14.707660675048826,79.80632781982422,17.42959022521973
mig,0.6,21.939706802368164,53.21025848388672,97.32875823974611
mps-uncap,0.7,19.21114921569824,155.75816631317153,19.256162643432617
mig,0.7,29.99291419982912,70.82366943359378,144.7268962860108
mps-uncap,0.8,22.712755203247074,1363.3761405944826,19.96655464172363
mig,0.8,42.699003219604485,107.66243934631348,170.86210250854492
mps-uncap,0.9,33.5312843322754,10624.145698547365,21.840739250183105
mig,0.9,110.2848291397095,177.0724773406982,344.14696693420416
mps-uncap,1.0,65.46187400817871,22963.580799102783,22.735118865966797
mig,1.0,2828.5598754882812,1296.3898181915288,1746.5829849243164
mps-uncap,1.1,204.30843830108654,31026.10216140747,23.22015762329102
mig,1.1,9244.938468933107,5066.632699966434,7281.665897369385
mps-uncap,1.2,4558.0384731292725,36509.67075824738,26.214551925659183
mig,1.2,13662.560868263248,12929.25009727478,15606.353306770325
mps-uncap,1.3,13673.828315734863,41943.41130256653,29.210805892944336
mig,1.3,19214.22190666199,17307.316994667057,19117.724561691288
