mode,load,0_squeezenet1_0-16,1_efficientnet_b6-2,2_vgg13-16
mps-uncap,0.6,3.0956268310546875,17.050504684448242,8.62574577331543
mig,0.6,6.043195724487305,17.243146896362305,29.232501983642578
mps-uncap,0.7,3.084421157836914,17.2882080078125,8.556365966796875
mig,0.7,6.03938102722168,17.076969146728516,29.182910919189453
mps-uncap,0.8,3.2477378845214844,17.05455780029297,8.716583251953125
mig,0.8,6.036281585693359,16.910791397094727,29.27374839782715
mps-uncap,0.9,3.3049583435058594,16.74675941467285,8.762598037719727
mig,0.9,6.032705307006836,16.878843307495117,29.1898250579834
mps-uncap,1.0,3.3512115478515625,16.81804656982422,8.79216194152832
mig,1.0,6.083250045776367,16.930818557739258,29.371023178100586
mps-uncap,1.1,3.340482711791992,16.772747039794922,8.877277374267578
mig,1.1,6.084680557250977,16.774654388427734,29.36863899230957
mps-uncap,1.2,3.2982826232910156,17.230510711669922,9.684562683105469
mig,1.2,6.08515739440918,16.87026023864746,29.386281967163086
mps-uncap,1.3,3.2935142517089844,17.345190048217773,9.672164916992188
mig,1.3,6.070137023925781,17.119646072387695,29.3729305267334
