mode,load,0_squeezenet1_0-16,1_efficientnet_b6-2,2_vgg13-16
mps-uncap,0.6,8.714866638183592,59.42583084106445,6.90271854400635
mig,0.6,15.187072753906254,35.550713539123535,67.17271804809572
mps-uncap,0.7,13.115167617797848,135.38708686828622,8.492898941040039
mig,0.7,23.286581039428718,53.44552993774416,114.89822864532472
mps-uncap,0.8,16.561126708984382,1342.1337604522705,8.926129341125487
mig,0.8,35.779285430908196,90.49320220947266,141.2423133850098
mps-uncap,0.9,27.556800842285163,10604.044961929321,10.55340766906739
mig,0.9,103.80239486694337,159.6782684326172,313.3902072906494
mps-uncap,1.0,59.93704795837402,22941.395688056946,11.028671264648436
mig,1.0,2821.852493286133,1279.338645935059,1716.4829730987549
mps-uncap,1.1,198.6959457397461,31007.047748565674,11.568784713745119
mig,1.1,9238.532161712648,5049.617624282841,7251.914262771606
mps-uncap,1.2,4545.546770095825,36486.649060249336,14.63871002197267
mig,1.2,13656.048274040226,12912.090468406675,15576.609778404236
mps-uncap,1.3,13664.513349533081,41922.532868385315,17.543792724609386
mig,1.3,19207.831239700317,17289.601325988773,19087.675642967228
