mode,load,0_squeezenet1_0-16,1_efficientnet_b6-2,2_vgg13-16
mps-uncap,0.6,17.6694393157959,57.869672775268555,16.9217586517334
mig,0.6,18.817663192749023,24.734973907470703,36.91291809082031
mps-uncap,0.7,17.79031753540039,59.25774574279785,17.461299896240234
mig,0.7,20.205259323120117,24.99246597290039,34.54232215881348
mps-uncap,0.8,18.80812644958496,61.286211013793945,23.5135555267334
mig,0.8,16.602516174316406,26.89385414123535,39.92009162902832
mps-uncap,0.9,17.466068267822266,65.08851051330566,16.65329933166504
mig,0.9,21.440505981445312,29.851436614990234,34.43121910095215
mps-uncap,1.0,20.17807960510254,66.2689208984375,19.674062728881836
mig,1.0,14.748334884643555,29.458999633789062,35.30263900756836
mps-uncap,1.1,17.920494079589844,66.82062149047852,16.754627227783203
mig,1.1,19.496679306030273,25.078535079956055,36.77201271057129
mps-uncap,1.2,18.86749267578125,66.49184226989746,19.774675369262695
mig,1.2,20.58553695678711,24.352073669433594,34.75594520568848
mps-uncap,1.3,18.093585968017578,68.29953193664551,26.926755905151367
mig,1.3,18.719911575317383,24.289846420288086,36.126136779785156
