mode,load,0_squeezenet1_0-16,1_efficientnet_b6-2,2_vgg13-16
mps-uncap,0.6,0.027894973754882812,13.943195343017578,0.019550323486328125
mig,0.6,3.214120864868164,6.512284278869629,11.78288459777832
mps-uncap,0.7,0.9163618087768555,38.21241855621338,0.017881393432617188
mig,0.7,5.37562370300293,12.13526725769043,24.534940719604492
mps-uncap,0.8,2.340555191040039,707.3639631271362,0.017404556274414062
mig,0.8,9.084224700927734,26.009082794189453,39.21008110046387
mps-uncap,0.9,5.352377891540527,6495.603561401367,0.01811981201171875
mig,0.9,26.6115665435791,48.940181732177734,86.66682243347168
mps-uncap,1.0,12.752294540405273,13211.082220077515,0.01811981201171875
mig,1.0,849.4420051574707,624.5460510253906,1320.9482431411743
mps-uncap,1.1,59.14914608001709,17440.956830978394,0.018596649169921875
mig,1.1,4445.558071136475,3182.210326194763,3724.7047424316406
mps-uncap,1.2,2399.665355682373,19967.459440231323,0.019311904907226562
mig,1.2,6749.754309654236,7236.996054649353,8586.373090744019
mps-uncap,1.3,7985.2135181427,23356.39774799347,0.021457672119140625
mig,1.3,9603.675842285156,9481.97615146637,10660.933494567871
