mode,load,0_squeezenet1_0-16,1_efficientnet_b6-2,2_vgg13-16
mps-uncap,0.6,51.10049247741699,188.2009506225586,44.84081268310547
mig,0.6,58.43210220336914,137.04299926757812,206.61258697509766
mps-uncap,0.7,70.44148445129395,301.1610507965088,44.6782112121582
mig,0.7,129.896879196167,149.87969398498535,351.4258861541748
mps-uncap,0.8,87.01944351196289,1774.9884128570557,57.42383003234863
mig,0.8,119.51303482055664,266.76106452941895,539.4711494445801
mps-uncap,0.9,100.91423988342285,12214.618682861328,61.11621856689453
mig,0.9,390.3028964996338,331.1171531677246,896.5027332305908
mps-uncap,1.0,189.80646133422852,25572.227478027344,60.57333946228027
mig,1.0,3081.2442302703857,1688.0922317504883,1968.2598114013672
mps-uncap,1.1,460.9858989715576,34929.88729476929,73.66681098937988
mig,1.1,9990.396499633789,5760.939836502075,7866.184949874878
mps-uncap,1.2,5030.265331268311,40889.93859291077,73.24481010437012
mig,1.2,15100.165128707886,14672.070980072021,17360.397815704346
mps-uncap,1.3,15723.880767822266,46640.339612960815,69.13590431213379
mig,1.3,21331.650018692017,19719.823837280273,21301.14221572876
