mode,load,0_squeezenet1_0-16,1_efficientnet_b6-2,2_vgg13-16
mps-uncap,0.6,21.45021677017212,112.5685214996338,15.251393318176213
mig,0.6,31.377601623535167,81.15459680557258,130.74476242065413
mps-uncap,0.7,30.990128517150897,214.83765840530393,20.516576766967773
mig,0.7,60.24565935134923,97.74446487426758,242.87500381469712
mps-uncap,0.8,40.758047103881864,1594.1073608398412,21.50493860244745
mig,0.8,67.20343112945557,177.7391433715818,280.60387134551974
mps-uncap,0.9,63.639898300170906,12029.591679573059,26.591653823852553
mig,0.9,314.36153173446667,273.71689319610596,714.6899271011353
mps-uncap,1.0,137.36681938171344,25313.17949771881,26.587338447570858
mig,1.0,3011.1008167266846,1553.5687589645386,1903.5142993927004
mps-uncap,1.1,343.89904022216797,34395.29314041138,29.666485786437974
mig,1.1,9932.72479057312,5635.062420368195,7724.665493965149
mps-uncap,1.2,4913.866209983826,40507.84314632416,33.36919784545895
mig,1.2,14995.590348243713,14438.887906074526,17034.808371067047
mps-uncap,1.3,15462.807512283325,46078.50951910018,40.37189960479737
mig,1.3,21143.47114801407,19433.192265033722,21024.13440704346
