mode,load,0_squeezenet1_0-16,1_efficientnet_b6-2,2_vgg13-16
mps-uncap,0.6,27.32576370239257,133.1546783447266,26.474230289459193
mig,0.6,38.08437347412115,99.31641817092896,160.71357727050756
mps-uncap,0.7,37.18564748764039,236.001706123352,32.16211318969725
mig,0.7,67.1644043922425,115.34329414367673,273.27585697174055
mps-uncap,0.8,47.63475894927979,1611.9455122947675,32.69465208053586
mig,0.8,74.5683765411377,195.37510871887196,312.3697781562798
mps-uncap,0.9,69.99748468399049,12052.217588424683,37.86000728607181
mig,0.9,321.64719581604015,290.7840919494629,745.4064774513243
mps-uncap,1.0,143.48277330398494,25333.739149570465,37.908720970153844
mig,1.0,3018.072814941406,1570.6271028518677,1933.703684806824
mps-uncap,1.1,350.77636718750006,34415.92011451721,40.98478794097898
mig,1.1,9939.229860305786,5651.956646442413,7754.7684383392325
mps-uncap,1.2,4918.16189289093,40526.34689331055,44.909200668334904
mig,1.2,15002.108035087585,14456.332857608797,17064.598610401157
mps-uncap,1.3,15473.13136100769,46113.41643095016,52.09586143493652
mig,1.3,21149.96038675308,19450.495293140415,21055.52480220795
