mode,load,0_squeezenet1_0-16,1_efficientnet_b6-2,2_vgg13-16
mps-uncap,0.6,3.803849220275879,18.54419708251953,10.691642761230469
mig,0.6,6.355047225952148,17.72308349609375,29.695510864257812
mps-uncap,0.7,3.8558244705200195,18.739938735961914,10.822772979736328
mig,0.7,6.337642669677734,17.49444007873535,29.645919799804688
mps-uncap,0.8,3.873586654663086,18.71514320373535,10.951757431030273
mig,0.8,6.339550018310547,17.261743545532227,29.639244079589844
mps-uncap,0.9,3.8722753524780273,18.923044204711914,11.038541793823242
mig,0.9,6.353139877319336,17.118453979492188,29.67822551727295
mps-uncap,1.0,3.904581069946289,19.410014152526855,11.120796203613281
mig,1.0,6.386041641235352,17.133474349975586,29.825806617736816
mps-uncap,1.1,3.9191246032714844,22.754907608032227,11.21211051940918
mig,1.1,6.406307220458984,16.968131065368652,29.839754104614258
mps-uncap,1.2,3.937244415283203,24.785161018371582,11.285543441772461
mig,1.2,6.410121917724609,17.078161239624023,29.860973358154297
mps-uncap,1.3,3.9777755737304688,25.532245635986328,11.320829391479492
mig,1.3,6.395816802978516,17.365455627441406,29.833078384399414
