mode,load,0_squeezenet1_0-16,1_efficientnet_b6-2,2_vgg13-16
mps-uncap,0.6,39.534568786621094,163.45667839050293,33.5538387298584
mig,0.6,50.40454864501953,119.66657638549805,177.24347114562988
mps-uncap,0.7,66.81251525878906,280.5752754211426,34.90900993347168
mig,0.7,122.64704704284668,131.76512718200684,321.67530059814453
mps-uncap,0.8,75.44827461242676,1757.117748260498,45.8371639251709
mig,0.8,112.23530769348145,249.63665008544922,508.96501541137695
mps-uncap,0.9,95.99971771240234,12194.575309753418,49.70073699951172
mig,0.9,382.95483589172363,313.98653984069824,866.9040203094482
mps-uncap,1.0,185.9731674194336,25555.264949798584,48.70891571044922
mig,1.0,3074.8555660247803,1671.0212230682373,1938.6017322540283
mps-uncap,1.1,456.8333625793457,34909.226179122925,61.86318397521973
mig,1.1,9983.807563781738,5744.050979614258,7836.1029624938965
mps-uncap,1.2,5025.188207626343,40865.113735198975,61.3553524017334
mig,1.2,15093.830347061157,14655.09843826294,17330.601453781128
mps-uncap,1.3,15715.681791305542,46617.91706085205,57.6024055480957
mig,1.3,21324.23686981201,19699.95641708374,21270.62439918518
