mode,load,0_resnet101-4,1_squeezenet1_0-32,2_vgg19-16
mps-uncap,0.8,62.387939247762034,1536.915449964969,757.9372961312592
mps-uncap,0.9,71.6321541555507,1691.9952594521876,846.1608245809697
mps-uncap,1.0,74.90142615314423,1681.360616404135,840.7813842535231
mps-uncap,0.5,39.592910808602454,961.153701347814,462.3557872108674
mps-uncap,0.6,47.815778717015526,1130.6031393440423,570.472414194679
mps-uncap,0.7,51.85091272119987,1289.6411766571032,671.1203566509291
mps-uncap,0.1,7.910505086271347,185.60006726076656,90.52263260870046
mps-uncap,0.2,13.488840256665362,352.45988160216956,182.93418708063777
mps-uncap,0.3,23.820489704642394,570.2628933283823,274.6193748682154
mps-uncap,0.4,29.36540352397855,762.0808431504714,383.7532446620159
