mode,load,0_efficientnet_b5-2,1_resnet101-16,2_resnet50-8
mps-uncap,0.8,138.55886459350586,126.0383129119873,77.69489288330078
mps-uncap,0.9,194.52381134033203,152.3747444152832,156.55088424682617
mps-uncap,1.0,1542.8948402404785,1239.4707202911377,422.4088191986084
mps-uncap,0.5,48.98524284362793,65.2761459350586,31.70156478881836
mps-uncap,0.6,69.01001930236816,74.75781440734863,47.08600044250488
mps-uncap,0.7,95.27754783630371,126.95717811584473,62.59465217590332
mps-uncap,0.1,44.9981689453125,33.598899841308594,13.513803482055664
mps-uncap,0.2,50.371646881103516,33.25057029724121,26.163339614868164
mps-uncap,0.3,50.389766693115234,40.12036323547363,21.475553512573242
mps-uncap,0.4,51.0716438293457,40.1310920715332,28.860092163085938
