mode,load,0_efficientnet_b5-32,1_densenet121-8,2_efficientnet_b6-8
mps-uncap,0.6,42.38688945770264,23.98204803466797,27.846336364746094
mig,0.6,84.03134346008301,20.099639892578125,47.39069938659668
mps-uncap,0.7,45.15671730041504,35.45570373535156,38.93446922302246
mig,0.7,101.40752792358398,25.9401798248291,56.76436424255371
mps-uncap,0.8,43.20859909057617,148.5447883605957,46.31543159484863
mig,0.8,122.20931053161621,33.242225646972656,77.95262336730957
mps-uncap,0.9,58.01951885223389,6744.458436965942,68.53103637695312
mig,0.9,373.0454444885254,72.02327251434326,112.9601001739502
mps-uncap,1.0,65.23895263671875,15111.027002334595,122.99942970275879
mig,1.0,2931.1442375183105,795.8990335464478,513.1869316101074
mps-uncap,1.1,72.24082946777344,18666.170120239258,2001.6682147979736
mig,1.1,5746.057033538818,4972.7325439453125,3016.402006149292
mps-uncap,1.2,138.7310028076172,21940.452575683594,9834.080934524536
mig,1.2,7627.46787071228,6670.054912567139,8466.876983642578
mps-uncap,1.3,211.06648445129395,26708.372592926025,13271.955251693726
mig,1.3,11057.393312454224,9612.151622772217,9632.211208343506
