mode,load,0_efficientnet_b5-32,1_densenet121-8,2_efficientnet_b6-8
mps-uncap,0.6,0.012636184692382812,0.014066696166992188,0.014543533325195312
mig,0.6,0.015020370483398438,0.013828277587890625,0.01430511474609375
mps-uncap,0.7,0.01430511474609375,0.013828277587890625,0.01430511474609375
mig,0.7,0.014543533325195312,0.012159347534179688,0.014066696166992188
mps-uncap,0.8,0.014781951904296875,0.014543533325195312,0.014543533325195312
mig,0.8,0.013589859008789062,0.013828277587890625,0.014066696166992188
mps-uncap,0.9,0.014066696166992188,0.022411346435546875,0.014543533325195312
mig,0.9,0.015020370483398438,0.012636184692382812,0.015020370483398438
mps-uncap,1.0,0.014781951904296875,0.024080276489257812,0.015020370483398438
mig,1.0,0.015497207641601562,0.01430511474609375,0.0152587890625
mps-uncap,1.1,0.0152587890625,0.0152587890625,0.01621246337890625
mig,1.1,0.018835067749023438,0.022172927856445312,0.015020370483398438
mps-uncap,1.2,0.014543533325195312,0.04363059997558594,0.016450881958007812
mig,1.2,0.017642974853515625,0.018596649169921875,0.031948089599609375
mps-uncap,1.3,0.015735626220703125,0.0476837158203125,0.019788742065429688
mig,1.3,0.02002716064453125,0.02288818359375,0.018596649169921875
