mode,load,0_efficientnet_b5-32,1_densenet121-8,2_efficientnet_b6-8
mps-uncap,0.6,44.60430145263672,25.327682495117188,41.51010513305664
mig,0.6,64.26968574523926,15.566110610961914,36.3306999206543
mps-uncap,0.7,45.483946800231934,27.064085006713867,43.67027282714844
mig,0.7,64.13536071777344,15.566110610961914,36.21871471405029
mps-uncap,0.8,42.780518531799316,32.078361511230476,45.52764892578126
mig,0.8,63.98296356201172,15.508604049682617,36.31753921508789
mps-uncap,0.9,42.731428146362305,33.92376899719238,46.26774787902832
mig,0.9,63.875389099121094,15.490865707397461,36.33420467376709
mps-uncap,1.0,42.86630153656006,34.538960456848145,46.49817943572998
mig,1.0,64.02668952941895,15.500164031982422,36.3926887512207
mps-uncap,1.1,42.91849136352539,35.21757125854492,46.785640716552734
mig,1.1,64.08882141113281,15.280389785766602,36.33275032043457
mps-uncap,1.2,44.997453689575195,31.487464904785156,45.48215866088867
mig,1.2,63.99517059326172,15.178823471069336,36.24117374420166
mps-uncap,1.3,42.71578788757324,35.90497970581055,47.67012596130371
mig,1.3,64.42594528198242,15.416574478149414,36.45968437194824
