mode,load,0_efficientnet_b5-32,1_densenet121-8,2_efficientnet_b6-8
mps-uncap,0.6,215.2121067047119,204.8196792602539,253.7996768951416
mig,0.6,499.2542266845703,105.0727367401123,242.94352531433105
mps-uncap,0.7,139.2991542816162,230.57103157043457,164.11423683166504
mig,0.7,358.5958480834961,179.61502075195312,234.27295684814453
mps-uncap,0.8,166.82004928588867,908.0808162689209,281.6779613494873
mig,0.8,542.6311492919922,226.81117057800293,362.54310607910156
mps-uncap,0.9,244.68111991882324,12874.990940093994,746.3433742523193
mig,0.9,2280.606269836426,408.3883762359619,434.9968433380127
mps-uncap,1.0,229.92610931396484,28208.946466445923,706.791877746582
mig,1.0,6050.2424240112305,1412.428379058838,1317.0301914215088
mps-uncap,1.1,297.30725288391113,37637.903928756714,4013.033866882324
mig,1.1,10725.419759750366,8699.72276687622,6184.767246246338
mps-uncap,1.2,1545.0336933135986,45101.802110672,17989.187240600586
mig,1.2,15547.873973846436,13932.394742965698,17342.166900634766
mps-uncap,1.3,1027.156114578247,54313.987255096436,28392.435312271118
mig,1.3,22962.97264099121,21150.537252426147,20179.697036743164
