mode,load,0_efficientnet_b5-32,1_densenet121-8,2_efficientnet_b6-8
mps-uncap,0.6,47.63460159301758,34.316301345825195,48.715829849243164
mig,0.6,74.30624961853027,28.136491775512695,46.486854553222656
mps-uncap,0.7,48.70128631591797,37.16778755187988,49.95584487915039
mig,0.7,66.18189811706543,17.899513244628906,48.43640327453613
mps-uncap,0.8,46.117305755615234,39.464712142944336,53.940534591674805
mig,0.8,73.94933700561523,22.96924591064453,46.34881019592285
mps-uncap,0.9,53.113698959350586,44.51441764831543,53.86781692504883
mig,0.9,74.98908042907715,27.792930603027344,47.6229190826416
mps-uncap,1.0,46.98944091796875,41.44120216369629,54.29577827453613
mig,1.0,73.43220710754395,27.8012752532959,48.40970039367676
mps-uncap,1.1,50.492048263549805,44.7080135345459,54.402828216552734
mig,1.1,68.94993782043457,21.765708923339844,39.77251052856445
mps-uncap,1.2,53.01260948181152,40.38882255554199,55.895328521728516
mig,1.2,67.26217269897461,22.430419921875,43.01047325134277
mps-uncap,1.3,53.580284118652344,45.42088508605957,53.379058837890625
mig,1.3,70.32632827758789,28.594017028808594,48.16794395446777
